Code,Name,LHD/RHD,Brand,Year
,Honda Civic Type R (FK8) Championship White,LHD,Honda,January 2018
,Honda Civic Type R (FK8) Championship White,RHD,Honda,November 2018
19OEM04,Honda Civic Type R - Team Liquid,LHD,Honda,2019
MGT00001,Honda Civic Type R (FK8) Championship White,LHD/RHD,Honda,2018
MGT00002,Honda Civic Type R (FK8) Aegean Blue Metallic,LHD/RHD,Honda,2018
MGT00003,"LB★WORKS Nissan GT-R (R35) Matte Grey Type 1, Rear Wing ver 1",LHD/RHD,LB Works,2018
MGT00004,"LB★WORKS Nissan GT-R (R35) Light Blue Type 1, Rear Wing ver 2",LHD/RHD,LB Works,2018
MGT00005,"LB★WORKS Nissan GT-R (R35) Black w/ Copper Wheel Type 1, Rear Wing ver 1+2",LHD/RHD,LB Works,2020
MGT00006,"LB★WORKS Nissan GT-R (R35) Zero Fighter Special Type 1, Rear Wing ver 2",RHD,LB Works,2018
MGT00007,"LB★WORKS Nissan GT-R (R35) Zero Fighter Special Type 1, Rear Wing ver 1",RHD,LB Works,2018
MGT00008,Honda Civic Type R (FK8) Phoenix Yellow,LHD,Honda,2019
MGT00009,"LB★WORKS Nissan GT-R (R35) Matte White Type 1, Rear Wing Ver 1",LHD/RHD,LB Works,2019
MGT00010,Honda Civic Type R (FK8) Championship White Modulo Edition,LHD/RHD,Honda,2019
MGT00011,Honda Civic Type R (FK8) Crystal Black Modulo Edition,RHD,Honda,2019
MGT00012,Honda Civic Type R (FK8) Rallye Red,LHD/RHD,Honda,2019
MGT00013,McLaren Senna Victory Grey,LHD/RHD,McLaren,2018
MGT00014,Toyota Supra (JZA80) Super White,LHD/RHD,Toyota,2019
MGT00015,Honda Civic Type R (FK8) Crystal Black,LHD/RHD,Honda,2019
MGT00016,Honda NSX GT3 #84 2017 Macau GP Honda Racing,LHD,Honda,2019
MGT00017,Honda Civic Type R (FK8) Aegean Blue Modulo Edition,LHD/RHD,Honda,2019
MGT00018,McLaren Senna Mira Orange,LHD/RHD,McLaren,2019
MGT00019,McLaren Senna White,RHD,McLaren,2019
MGT00020,McLaren Senna Onyx Black,LHD/RHD,McLaren,2019
MGT00021,Honda  Civic Type R (FK8) Rallye Red Modulo Edition,RHD,Honda,2019
MGT00022,Honda Civic Type R (FK8) ADAC TCR Germany Safety Car,LHD,Honda,2019
MGT00023,"Honda Civic Type R (FK8) ""Customer Racing Study""",LHD,Honda,2019
MGT00024,"Honda Civic Type R (FK8) ""Time Attack 2018""",LHD,Honda,2019
MGT00025,Honda NSX GT3 Presentation,LHD,Honda,2019
MGT00026,Acura NSX GT3 Los Angeles Auto Show 2017,LHD,Honda,2019
MGT00027,NSX GT3 2019 MINI GT Gift Car,LHD,Honda,2019
MGT00028,Honda Civic Type R (FK8) Slate Grey w/ TE37 Wheel,LHD,Honda,2019
MGT00029,"LB★WORKS Nissan GT-R (R35) AEON Type 1, Rear Wing ver 1",RHD,LB Works,2019
MGT00030,"LB★WORKS Nissan GT-R (R35) Satin Gold Type 1, Rear Wing ver 2",LHD,LB Works,2019
MGT00031,"LB★WORKS Nissan GT-R (R35) Matte Black Type 1, Rear Wing ver 1",LHD,LB Works,2019
MGT00032,"LB★WORKS Nissan GT-R (R35) Magic Bronze Type 1, Rear Wing ver 2",RHD,LB Works,2019
MGT00033,"LB★WORKS Nissan GT-R (R35) Magic Bronze Type 1, Rear Wing ver 1",RHD,LB Works,2019
MGT00034,"LB★WORKS Nissan GT-R (R35) Candy Blue Type 1, Rear Wing ver 1",LHD,LB Works,2019
MGT00035,"LB★WORKS Nissan GT-R (R35) Magic Grey Type 1, Rear Wing ver 2",LHD,LB Works,2019
MGT00036,Honda NSX GT3 Tokyo Auto Salon 2018,LHD,Honda,2019
MGT00037,Honda Civic Type R (FK8) ArtCar Manga - 2018 Paris Autoshow,LHD,Honda,2019
MGT00038,Pagani Huayra Roadster Blue Francia,LHD/RHD,Pagani,2019
MGT00039,"LB★WORKS Nissan GT-R (R35) Magic Purple Type 1, Rear Wing ver 2",RHD,LB Works,2019
MGT00040,"LB★WORKS Nissan GT-R (R35) Satin Gold w/ Carbon Type 1, Rear Wing ver 2",RHD,LB Works,2019
MGT00041,BMW M3 (E30) Alpine White,LHD/RHD,BMW,2019
MGT00042,,,,
MGT00043,BMW M3 Henna Red,LHD/RHD,BMW,2020
MGT00044,,,,
MGT00045,Toyota Supra (JZA80) Black,LHD/RHD,Toyota,2020
MGT00046,Toyota Supra (JZA80) Renaissance Red,LHD/RHD,Toyota,2019
MGT00047,Acura NSX GT3 NY Autoshow 2016,LHD,Acura,2019
MGT00048,Acura NSX GT3 Gulf Racing,LHD,Acura,2019
MGT00049,"LB★WORKS Nissan GT-R (R35) Satin Silver Type 1, Rear Wing Version 2",LHD/RHD,LB Works,2019
MGT00050,Pagani Huayra Roadster Rosso Monza,LHD/RHD,Pagani,2019
MGT00051,Honda NSX GT3 #30 2018 24 Hours of Spa,LHD,Honda,2019
MGT00052,"Acura NSX GT3 #86 ""Uncle Sam"" 2017 IMSA Watkins Glen",LHD,Acura,2019
MGT00053,Pagani Huayra Roadster White w/ Carbon Red Stripe,RHD,Pagani,2019
MGT00054,"LB★WORKS Nissan GT-R (R35) ""WearItPink"" Breast Cancer Awareness Type 1, Rear Wing ver 1",RHD,LB Works,2019
MGT00055,BMW M3 (E30) #6 Watson's Team Schnitzer 1991 Guia Race of Macau / Winner,LHD,BMW,2019
MGT00056,BMW M3 (E30) #42 1991 Deutsche Tourenwagen Meisterschaft,LHD,BMW,2019
MGT00057,LB★WORKS Lamborghini Aventador Light Blue,LHD/RHD,Lamborghini,2020
MGT00058,LB★WORKS Lamborghini Aventador Black,LHD/RHD,LB Works,2019
MGT00059,Honda Civic Type R (FK8) 2018 Indonesia Motor Show,RHD,Honda,2019
MGT00063,Porsche 991 Turbo GT2RS Weissach Package GT Silver Metallic,LHD/RHD,Porsche,2019
MGT00064,"LB★WORKS Nissan GT-R (R35) White Type 1 , Rear Wing ver 1+2",LHD/RHD,LB Works,2019
MGT00065,Honda Civic Type R (FK8) Championship white w/ Carbon Kit & TE37 Wheel,LHD/RHD,Honda,2019
MGT00066,"LB★WORKS Nissan GT-R (R35) Cosmics Malaysia Type 1, Rear Wing ver 1+2",RHD,LB Works,2019
MGT00067,"LB★WORKS Nissan GT-R (R35) Light Green Type 1, Rear Wing ver 1",LHD,LB Works,2019
MGT00068,"LB★WORKS Nissan GT-R (R35) White Type 2, Rear Wing ver 3",LHD/RHD,LB Works,2020
MGT00069,"LB★WORKS Nissan GT-R (R35) Metallic Brown Type 2, Rear Wing ver 3",RHD,LB Works,2019
MGT00070,"LB★WORKS Nissan GT-R (R35) Gudang Garam Intersport Type 2, Rear Wing ver 3",RHD,LB Works,2020
MGT00071,"LB★WORKS Nissan GT-R (R35) White w/ Red Wheels Type 1, Rear Wing ver 1+2",RHD,LB Works,2018
MGT00072,"Acura NSX GT3 #93 ""Statue of Liberty"" 2017 IMSA Watkins Glen",LHD,Acura,2019
MGT00073,LB★WORKS Nissan GT-R (R35) Magic Purple w/ Carbon Fiber,RHD,LB Works,2018
MGT00074,"LB★WORKS Nissan GT-R (R35) ADVAN Type 2, Rear Wing ver 3",RHD,LB Works,2019
MGT00075,"LB★WORKS Nissan GT-R (R35) Black / LB Work Livery 2.0 Type 1, Rear Wing ver 1",RHD,LB Works,2019
MGT00076,"LB★WORKS Nissan GT-R (R35) Pink Pig Type 2, Rear Wing ver 3",LHD/RHD,LB Works,2019
MGT00077,"LB★WORKS Nissan GT-R (R35) Candy Red Type 1, Rear Wing ver 1+2",LHD/RHD,LB Works,2020
MGT00078,Pagani Huayra Roadster Arancio Saint Tropez,LHD/RHD,Pagani,2019
MGT00081,McLaren Senna Orange / White,LHD/RHD,McLaren,2019
MGT00082,"LB★WORKS Nissan GT-R (R35) Candy Red w/ Carbon Fiber Type 1, Rear Wing ver 1+2",RHD,LB Works,N/A
MGT00083,,,,
MGT00084,LB★WORKS Nissan GT-R Black Chrome,LHD,LB Works,N/A
MGT00085,"LB★WORKS Nissan GT-R (R35) Magic Pearl Type 1, Rear Wing ver 1",LHD,LB Works,2020
MGT00086,Porsche 911 GT2 RS Weissach Package White,LHD/RHD,Porsche,2020
MGT00087,Nissan GT-R (R32) Black w/ BBS LM Wheel,RHD,Nissan,2020
MGT00088,Bentley Continental GT Passion Pink,LHD,Bentley,2020
MGT00089,BMW M3 (E30) #1 Macau Guia Race 1992 Winner,LHD,BMW,2020
MGT00090,EVA RT Test Type-01 X Works GT-R #33 - Super GT Series 2019,LHD,Nissan,2020
MGT00091,Eva RT Test Type-01 X Works GT-R #33 Test Car SUPER GT GT300 2019,LHD,Nissan,2020
MGT00092,Pandem Nissan GT-R (R35) Lava Red GT Wing,LHD/RHD,Pandem,2019
MGT00093,Pandem Nissan GT-R (R35) Velocity Blue Duck Tail,LHD/RHD,Pandem,2019
MGT00094,Bentley Continental GT 2018 Sequin Blue,LHD/RHD,Bentley,2020
MGT00095,Honda Civic Type R (FK8) Blitz Type R White,RHD,Honda,2020
MGT00096,Pandem Nissan GT-R (R35) Metallic Blue GT Wing,RHD,Pandem,2020
MGT00097,Honda Civic Type R (FK8) HKS Black,RHD,Honda,2020
MGT00098,Pandem Nissan GT-R (R35) GT Wing ROCAF Malataw Fighter,LHD,Pandem,2020
MGT00099,Pandem Nissan GT-R (R35) Duck Tail ROCAF Malataw Fighter,LHD,Pandem,2020
MGT00100,,,,
